Airport Code,Airport Name,City Name,coordinates
277,MLY,Manley Hot Springs,Manley Hot Springs,"65.0, -150.633333"
278,JAJ,Perimeter Mall,Atlanta,"9.716667, -82.983333"
279,WOO,Woodchopper,Woodchopper,"65.3, -143.483333"
280,JDM,Downtown Heliport,Miami,"10.016667, -73.65"
281,WTR,White River,White River,"33.816667, -109.983333"
282,BBC,Bay City,Bay City,"28.983333, -95.966667"
283,LPC,Lompoc Airport,Lompoc,"34.666667, -120.469444"
284,HAB,Marion County,Hamilton,"34.116667, -88.0"
285,MTO,Coles County Memorial,Mattoon,"39.483333, -88.283333"
286,WPO,North Fork Valley,Paonia,"38.866667, -107.6"
287,PTL,Port Armstrong,Port Armstrong,"56.297222, -134.6625"
288,KKU,Ekuk,Ekuk,"58.816667, -158.55"
289,HLB,Hillenbrand,Batesville,"39.3, -85.216667"
290,UIL,Quillayute State,Quillayute,"47.95, -124.566667"
291,DRI,Beauregard Parish,De Ridder,"53.2, 5.45"
292,KWN,Kwinhagak,Quinhagak,"59.75, -161.916667"
293,OFK,Stefan Field,Norfolk,"41.983333, -97.433333"
294,PNN,Princeton,Princeton,"45.202778, -67.566667"
295,GVW,Richards-Gebaur,Grandview,"38.883333, -94.533333"
296,OSB,Osage Beach,Osage Beach,"38.15, -92.616667"
297,FMH,Otis AFB,Falmouth,"41.566667, -70.633333"
298,PUL,Poulsbo,Poulsbo,"47.733333, -122.65"
299,PPF,Tri-City,Parsons,"37.333333, -95.5"
300,BFT,County,Beaufort,"32.416667, -80.633333"
301,MSN,Dane County Regional,Madison,"43.139722, -89.3375"
302,SXP,Sheldon SPB,Sheldon Point,"62.533333, -164.833333"
303,HGT,Hunter AAF,Jolon,"-7.3, 157.033333"
304,AKK,Akhiok SPB,Akhiok,"56.95, -154.166667"
305,LOL,Derby Field,Lovelock,"40.058333, -118.566667"
306,ECG,Elizabeth City,"Elizabeth City, NC","36.260556, -76.174444"
307,VQQ,Cecil Field,Jacksonville,"30.218611, -81.876667"
308,FAF,Felker AAF,Fort Eustis,"19.833333, -72.5"
309,OBU,Kobuk/Wien,Kobuk,"66.933333, -156.866667"
310,CDV,Mudhole Smith,Cordova,"60.483333, -145.483333"
311,MKO,Davis Field,Muskogee,"35.666667, -95.366667"
312,MGE,Dobbins Afb,Marietta,"33.912222, -84.515278"
313,LUF,Luke Afb,Phoenix,"6.466667, -57.65"
314,PHP,Philip,Philip,"44.033333, -101.65"
315,DNE,Dallas North Airport,Dallas,"7.716667, 40.916667"
316,MCO,Orlando International,Orlando,"28.429444, -81.308889"
317,ALB,Albany International,Albany,"42.733333, -73.8"
318,BGQ,Big Lake,Big Lake,"61.533333, -149.816667"
319,CKB,Benedum,Clarksburg,"39.3, -80.233333"
320,LSF,Lawson Aaf,Columbus,"32.337222, -84.991389"
321,MFI,Municipal,Marshfield,"44.6375, -90.188889"
322,CID,Cedar Rapids,Cedar Rapids,"41.884722, -91.710833"
323,MEV,Douglas County,Minden,"39.0, -119.75"
